id;work_day_no;medical_reimbursement;vaccine_reimbursement;vitamins_reimbursement;optical_reimbursement
1;overriding generating;90252;68207;43060;72919
2;Handcrafted Practical customized;70842;5670;84115;36058
3;B2C revolutionary Granite;95078;51397;13410;83578
4;Idaho Orchestrator;32049;35715;15359;68193
5;Salad;48137;36814;41366;55979
6;function;58962;45103;68412;34346
7;Unbranded Tuna;1236;86670;59311;37544
8;Forward;4139;75949;81860;82888
9;Lakes feed Direct;72652;6375;40090;93723
10;Implemented Mobility Incredible Granite Pants;28834;96865;89871;4665
